device_type,brand,model,age_months,total_repairs,months_since_last_repair,total_cost,last_repair_type,season,next_failure_type,failure_probability,will_fail_soon
phone,Xiaomi,Poco F5,71,1,10,662.64,battery_degradation,4,screen_damage,0.691,1
phone,Xiaomi,Redmi Note 12,40,5,25,12439.37,software_issue,4,charging_port,0.63,1
tablet,Samsung,Galaxy Tab S9,32,3,14,480.19,battery_degradation,2,charging_port,0.398,0
tablet,Apple,iPad Air 5,10,2,10,294.37,charging_port,1,battery_degradation,0.23,0
laptop,Apple,MacBook Pro 14,31,1,17,1672.44,overheating,2,speaker_failure,0.256,0
tablet,Lenovo,Tab M10,32,1,30,2018.74,software_issue,1,battery_degradation,0.248,0
tablet,Samsung,Galaxy Tab A8,55,4,26,4670.25,battery_degradation,1,screen_damage,0.621,1
phone,Samsung,Galaxy S23,14,1,3,478.98,screen_damage,2,battery_degradation,0.402,0
laptop,Lenovo,IdeaPad 5,60,2,15,4372.43,screen_damage,1,water_damage,0.49,1
phone,Xiaomi,Mi 13,2,0,2,0.0,none,2,water_damage,0.254,0
phone,Samsung,Galaxy A34,62,4,13,8646.5,water_damage,2,charging_port,0.772,1
laptop,Apple,MacBook Air M2,34,0,34,0.0,none,4,charging_port,0.305,0
laptop,Dell,Latitude 5530,72,2,31,773.98,screen_damage,1,motherboard_failure,0.459,1
tablet,Lenovo,Tab P11,41,0,41,0.0,none,4,charging_port,0.216,0
tablet,Lenovo,Tab P11,8,0,8,0.0,none,1,touchscreen_failure,0.232,0
phone,Apple,iPhone 15,9,0,9,0.0,none,2,water_damage,0.13,0
laptop,Apple,MacBook Pro 14,32,2,2,3096.91,keyboard_failure,3,battery_degradation,0.477,1
laptop,Lenovo,Legion 5,41,5,15,3320.18,screen_damage,3,overheating,0.556,1
laptop,HP,Pavilion 15,2,0,2,0.0,none,1,software_issue,0.102,0
phone,Xiaomi,Redmi Note 12,65,8,16,2649.13,screen_damage,1,screen_damage,0.736,1
phone,Samsung,Galaxy S23,21,2,14,4168.72,screen_damage,1,water_damage,0.429,0
tablet,Lenovo,Tab M10,14,0,14,0.0,none,2,screen_damage,0.258,0
laptop,Apple,MacBook Air M1,71,5,9,3404.35,overheating,3,data_recovery,0.746,1
phone,Xiaomi,Poco X5,65,4,31,2511.21,battery_degradation,1,battery_degradation,0.732,1
phone,Xiaomi,Poco F5,36,2,2,17.73,software_issue,3,water_damage,0.668,1
phone,Xiaomi,Poco F5,71,5,27,7011.34,battery_degradation,2,screen_damage,0.622,1
tablet,Apple,iPad Pro 11,71,6,9,6446.8,water_damage,3,charging_port,0.633,1
phone,Samsung,Galaxy S22,32,4,6,3536.79,software_issue,4,battery_degradation,0.622,1
tablet,Lenovo,Tab P11,31,0,31,0.0,none,2,charging_port,0.328,0
laptop,Apple,MacBook Air M1,43,3,26,6016.76,motherboard_failure,2,water_damage,0.488,1
laptop,Lenovo,Legion 5,14,0,14,0.0,none,1,screen_damage,0.147,0
laptop,Lenovo,ThinkPad X1 Carbon,59,5,22,3814.89,charging_port,2,charging_port,0.721,1
phone,Apple,iPhone 12,52,8,21,5572.06,battery_degradation,3,battery_degradation,0.499,1
laptop,ASUS,ROG Strix G15,69,2,21,4696.19,keyboard_failure,3,screen_damage,0.448,0
phone,Xiaomi,Poco X5,5,0,5,0.0,none,4,charging_port,0.097,0
laptop,HP,EliteBook 840,66,1,7,962.99,charging_port,3,keyboard_failure,0.607,1
phone,Xiaomi,Poco F5,1,0,1,0.0,none,2,charging_port,0.159,0
laptop,Dell,XPS 13,43,3,20,4975.41,battery_degradation,3,screen_damage,0.423,0
tablet,Samsung,Galaxy Tab S8,53,5,20,5030.0,speaker_failure,2,battery_degradation,0.607,1
phone,Samsung,Galaxy A34,23,1,19,1422.76,screen_damage,1,motherboard_failure,0.288,0
laptop,HP,Pavilion 15,56,3,20,3487.41,battery_degradation,2,overheating,0.552,1
tablet,Samsung,Galaxy Tab S8,22,2,21,423.98,battery_degradation,3,water_damage,0.338,0
phone,Apple,iPhone 13,29,3,25,1493.47,screen_damage,2,battery_degradation,0.25,0
laptop,ASUS,ZenBook 14,59,1,26,2215.34,battery_degradation,4,battery_degradation,0.46,1
laptop,Dell,XPS 13,19,0,19,0.0,none,1,software_issue,0.226,0
phone,Samsung,Galaxy S22,23,2,22,2589.79,charging_port,2,charging_port,0.242,0
phone,Samsung,Galaxy S22,60,2,33,4939.46,water_damage,4,water_damage,0.519,1
tablet,Lenovo,Tab M10,71,1,28,2243.02,touchscreen_failure,4,charging_port,0.499,1
laptop,HP,Pavilion 15,36,2,33,2422.99,battery_degradation,4,motherboard_failure,0.328,0
phone,Xiaomi,Poco X5,31,0,31,0.0,none,3,charging_port,0.259,0
tablet,Apple,iPad Air 5,20,2,7,1915.18,touchscreen_failure,2,charging_port,0.322,0
phone,Samsung,Galaxy A34,43,5,34,5824.05,screen_damage,4,screen_damage,0.477,1
laptop,ASUS,VivoBook 15,3,0,3,0.0,none,4,battery_degradation,0.186,0
laptop,Apple,MacBook Air M2,39,1,24,2133.62,overheating,4,charging_port,0.386,0
tablet,Lenovo,Tab P11,63,0,63,0.0,none,4,speaker_failure,0.344,0
laptop,Apple,MacBook Air M2,44,1,25,1810.45,motherboard_failure,2,motherboard_failure,0.388,0
tablet,Lenovo,Tab P11,51,4,36,6630.0,software_issue,4,speaker_failure,0.472,1
phone,Samsung,Galaxy S22,7,1,4,947.76,battery_degradation,3,camera_failure,0.294,0
laptop,Dell,Inspiron 15,54,6,16,12523.66,software_issue,1,screen_damage,0.681,1
laptop,Lenovo,Legion 5,9,1,0,1885.58,software_issue,2,keyboard_failure,0.485,1
phone,Xiaomi,Redmi Note 12,31,0,31,0.0,none,1,touchscreen_failure,0.23,0
tablet,Apple,iPad Pro 11,33,0,33,0.0,none,2,battery_degradation,0.268,0
tablet,Lenovo,Tab P11,21,4,9,1080.99,battery_degradation,3,battery_degradation,0.435,0
tablet,Lenovo,Tab M10,51,4,12,759.96,charging_port,2,screen_damage,0.693,1
phone,Xiaomi,Poco X5,16,1,1,868.01,software_issue,3,battery_degradation,0.457,1
phone,Xiaomi,Poco X5,2,0,2,0.0,none,4,screen_damage,0.23,0
phone,Samsung,Galaxy S23,59,3,9,3266.15,camera_failure,3,screen_damage,0.717,1
tablet,Lenovo,Tab M10,60,3,27,6193.01,overheating,3,battery_degradation,0.568,1
phone,Apple,iPhone 13,58,6,15,11257.14,camera_failure,4,charging_port,0.679,1
laptop,Apple,MacBook Air M2,42,2,11,2437.75,screen_damage,3,battery_degradation,0.439,0
laptop,HP,Omen 16,36,1,35,25.38,battery_degradation,1,battery_degradation,0.42,0
phone,Xiaomi,Poco F5,63,5,35,9477.06,software_issue,4,screen_damage,0.738,1
laptop,Apple,MacBook Air M1,38,1,14,1011.0,water_damage,3,battery_degradation,0.322,0
laptop,ASUS,VivoBook 15,45,3,27,7474.74,screen_damage,3,water_damage,0.485,1
tablet,Samsung,Galaxy Tab A8,40,3,16,1729.04,touchscreen_failure,3,touchscreen_failure,0.561,1
phone,Xiaomi,Mi 13,24,1,6,540.96,battery_degradation,3,motherboard_failure,0.467,1
phone,Apple,iPhone 13,30,3,11,1345.81,screen_damage,2,charging_port,0.361,0
laptop,Apple,MacBook Air M1,71,2,18,3487.09,water_damage,4,water_damage,0.425,0
phone,Apple,iPhone 15,37,2,30,2393.57,speaker_failure,1,water_damage,0.303,0
laptop,Dell,XPS 13,9,0,9,0.0,none,1,speaker_failure,0.125,0
tablet,Lenovo,Tab P11,20,4,4,8111.42,water_damage,1,speaker_failure,0.656,1
phone,Apple,iPhone 15,54,0,54,0.0,none,2,screen_damage,0.341,0
tablet,Samsung,Galaxy Tab A8,57,4,19,8601.67,battery_degradation,3,water_damage,0.725,1
tablet,Lenovo,Tab P11,13,2,12,1038.94,battery_degradation,1,battery_degradation,0.307,0
phone,Apple,iPhone 12,71,6,4,2347.99,touchscreen_failure,4,speaker_failure,0.748,1
laptop,Apple,MacBook Air M1,37,1,18,1757.47,battery_degradation,2,speaker_failure,0.326,0
laptop,ASUS,VivoBook 15,26,1,13,286.94,motherboard_failure,2,motherboard_failure,0.317,0
laptop,Lenovo,ThinkPad X1 Carbon,8,0,8,0.0,none,3,battery_degradation,0.073,0
tablet,Lenovo,Tab M10,57,6,7,7030.47,camera_failure,4,battery_degradation,0.737,1
laptop,ASUS,VivoBook 15,64,1,28,201.1,data_recovery,4,motherboard_failure,0.358,0
tablet,Samsung,Galaxy Tab S8,33,1,1,228.32,screen_damage,1,screen_damage,0.599,1
tablet,Samsung,Galaxy Tab S8,6,0,6,0.0,none,2,touchscreen_failure,0.183,0
laptop,ASUS,VivoBook 15,57,4,17,1814.89,charging_port,4,keyboard_failure,0.66,1
phone,Samsung,Galaxy S23,53,5,21,4013.23,battery_degradation,2,charging_port,0.561,1
laptop,Dell,Latitude 5530,64,4,18,6625.84,battery_degradation,1,battery_degradation,0.63,1
laptop,Apple,MacBook Air M2,33,0,33,0.0,none,4,battery_degradation,0.18,0
tablet,Apple,iPad 10,70,2,29,2066.24,battery_degradation,3,camera_failure,0.388,0
tablet,Samsung,Galaxy Tab S8,57,3,3,1526.69,screen_damage,3,screen_damage,0.72,1
laptop,Dell,XPS 13,4,0,4,0.0,none,2,battery_degradation,0.215,0
tablet,Apple,iPad Pro 11,71,1,0,1380.63,charging_port,1,screen_damage,0.519,1
laptop,Apple,MacBook Pro 14,20,1,15,2331.63,motherboard_failure,3,battery_degradation,0.233,0
laptop,Dell,Inspiron 15,32,2,29,2756.33,software_issue,2,speaker_failure,0.337,0
phone,Samsung,Galaxy A34,44,0,44,0.0,none,3,battery_degradation,0.407,0
phone,Samsung,Galaxy S23,63,3,9,3349.11,battery_degradation,3,charging_port,0.672,1
tablet,Lenovo,Tab M10,59,4,20,8696.02,battery_degradation,2,software_issue,0.724,1
tablet,Samsung,Galaxy Tab S9,53,3,2,2386.32,charging_port,4,charging_port,0.693,1
laptop,Lenovo,IdeaPad 5,5,0,5,0.0,none,3,overheating,0.05,0
phone,Samsung,Galaxy S21,68,1,29,38.37,battery_degradation,2,screen_damage,0.379,0
phone,Samsung,Galaxy S23,44,1,25,1624.59,software_issue,4,charging_port,0.44,0
laptop,Dell,Latitude 5530,5,0,5,0.0,none,2,charging_port,0.148,0
tablet,Lenovo,Tab M10,30,1,23,225.95,charging_port,1,touchscreen_failure,0.404,0
laptop,Lenovo,Legion 5,39,2,1,229.95,overheating,3,keyboard_failure,0.646,1
laptop,HP,EliteBook 840,19,2,7,2655.83,water_damage,2,motherboard_failure,0.45,0
phone,Apple,iPhone 11,49,1,15,1244.17,screen_damage,2,screen_damage,0.437,0
laptop,HP,EliteBook 840,33,1,0,2247.27,overheating,3,battery_degradation,0.508,1
tablet,Lenovo,Tab P11,10,1,7,2363.09,charging_port,3,battery_degradation,0.439,0
tablet,Samsung,Galaxy Tab S8,33,1,29,2113.26,battery_degradation,4,water_damage,0.255,0
laptop,Apple,MacBook Air M1,49,3,36,2692.19,motherboard_failure,3,speaker_failure,0.404,0
phone,Xiaomi,Poco F5,36,2,0,2829.65,camera_failure,1,screen_damage,0.667,1
tablet,Lenovo,Tab M10,37,2,14,3035.32,battery_degradation,2,screen_damage,0.439,0
tablet,Samsung,Galaxy Tab S8,18,1,3,2258.51,touchscreen_failure,3,screen_damage,0.444,0
laptop,Apple,MacBook Pro 14,47,2,8,450.67,overheating,4,battery_degradation,0.477,1
phone,Apple,iPhone 12,70,2,23,2654.26,speaker_failure,2,battery_degradation,0.541,1
laptop,Dell,Inspiron 15,44,4,7,4683.31,keyboard_failure,2,speaker_failure,0.577,1
tablet,Lenovo,Tab M10,72,5,23,1128.79,screen_damage,3,software_issue,0.637,1
tablet,Apple,iPad Pro 11,48,2,16,2922.8,speaker_failure,3,screen_damage,0.521,1
phone,Xiaomi,Redmi Note 12,61,1,1,1548.87,speaker_failure,3,water_damage,0.78,1
tablet,Apple,iPad 10,9,0,9,0.0,none,4,battery_degradation,0.122,0
tablet,Samsung,Galaxy Tab S8,53,4,7,1397.77,charging_port,3,battery_degradation,0.796,1
laptop,Apple,MacBook Air M1,31,2,8,1943.23,software_issue,4,keyboard_failure,0.413,0
tablet,Lenovo,Tab P11,54,3,6,6252.7,water_damage,3,touchscreen_failure,0.693,1
phone,Xiaomi,Poco X5,28,1,14,1111.74,speaker_failure,3,water_damage,0.371,0
phone,Xiaomi,Poco X5,70,4,22,605.5,screen_damage,1,camera_failure,0.622,1
laptop,Apple,MacBook Pro 14,28,0,28,0.0,none,1,screen_damage,0.218,0
phone,Samsung,Galaxy S22,17,2,6,343.05,speaker_failure,2,screen_damage,0.488,1
tablet,Apple,iPad Air 5,43,2,9,3943.22,speaker_failure,3,screen_damage,0.509,1
phone,Apple,iPhone 15,33,2,11,549.63,water_damage,2,water_damage,0.497,1
phone,Samsung,Galaxy S22,42,2,1,871.23,screen_damage,4,touchscreen_failure,0.512,1
tablet,Apple,iPad 10,9,0,9,0.0,none,3,battery_degradation,0.09,0
tablet,Lenovo,Tab P11,58,3,32,1661.62,charging_port,3,touchscreen_failure,0.563,1
laptop,Apple,MacBook Air M1,62,0,62,0.0,none,4,software_issue,0.419,0
tablet,Apple,iPad Pro 11,57,5,4,11240.83,touchscreen_failure,2,touchscreen_failure,0.716,1
phone,Apple,iPhone 13,71,5,20,4761.3,overheating,3,speaker_failure,0.653,1
laptop,ASUS,VivoBook 15,56,4,6,7930.96,keyboard_failure,2,battery_degradation,0.653,1
laptop,Dell,XPS 13,53,2,21,4137.1,overheating,1,keyboard_failure,0.47,1
laptop,Dell,Inspiron 15,33,3,23,7151.94,data_recovery,4,keyboard_failure,0.461,1
phone,Apple,iPhone 11,12,0,12,0.0,none,3,charging_port,0.096,0
phone,Xiaomi,Redmi Note 11,72,2,35,1648.23,battery_degradation,3,touchscreen_failure,0.474,1
tablet,Samsung,Galaxy Tab S8,7,0,7,0.0,none,3,touchscreen_failure,0.229,0
laptop,Apple,MacBook Pro 14,65,1,13,386.83,motherboard_failure,1,battery_degradation,0.488,1
laptop,ASUS,ROG Strix G15,15,1,8,1435.25,keyboard_failure,1,battery_degradation,0.42,0
tablet,Lenovo,Tab M10,4,1,1,683.18,touchscreen_failure,3,screen_damage,0.414,0
laptop,Apple,MacBook Air M1,19,1,18,1643.36,software_issue,1,overheating,0.159,0
phone,Xiaomi,Mi 13,28,0,28,0.0,none,4,screen_damage,0.265,0
laptop,Lenovo,IdeaPad 5,40,2,20,3884.18,data_recovery,1,keyboard_failure,0.447,0
phone,Apple,iPhone 12,7,0,7,0.0,none,3,battery_degradation,0.12,0
laptop,Dell,Inspiron 15,57,2,26,1365.83,overheating,1,software_issue,0.536,1
laptop,Dell,XPS 13,37,2,31,2634.67,motherboard_failure,2,keyboard_failure,0.347,0
laptop,ASUS,ZenBook 14,1,0,1,0.0,none,2,battery_degradation,0.046,0
phone,Samsung,Galaxy S23,42,2,7,38.65,screen_damage,2,screen_damage,0.601,1
phone,Samsung,Galaxy A54,30,1,16,1396.81,screen_damage,3,speaker_failure,0.4,0
phone,Samsung,Galaxy S21,56,2,1,2298.77,screen_damage,3,screen_damage,0.587,1
tablet,Samsung,Galaxy Tab S8,52,5,26,3618.94,battery_degradation,3,camera_failure,0.591,1
phone,Xiaomi,Poco F5,47,0,47,0.0,none,1,screen_damage,0.303,0
phone,Samsung,Galaxy A54,52,1,33,196.62,screen_damage,3,charging_port,0.484,1
phone,Samsung,Galaxy S22,10,0,10,0.0,none,1,software_issue,0.152,0
tablet,Lenovo,Tab P11,45,2,22,3636.9,battery_degradation,2,touchscreen_failure,0.505,1
phone,Apple,iPhone 12,33,2,12,867.5,charging_port,1,battery_degradation,0.346,0
phone,Xiaomi,Poco F5,60,3,36,5699.08,software_issue,3,charging_port,0.59,1
tablet,Samsung,Galaxy Tab S9,57,3,4,3516.91,battery_degradation,3,charging_port,0.728,1
tablet,Apple,iPad Pro 11,65,2,4,1552.04,speaker_failure,1,overheating,0.607,1
laptop,HP,Pavilion 15,12,1,9,1485.2,overheating,1,battery_degradation,0.312,0
laptop,ASUS,VivoBook 15,25,1,10,1512.51,screen_damage,1,overheating,0.392,0
laptop,Apple,MacBook Air M2,11,1,8,1615.32,charging_port,4,overheating,0.196,0
laptop,ASUS,VivoBook 15,21,0,21,0.0,none,3,battery_degradation,0.178,0
laptop,Dell,Inspiron 15,7,2,5,329.56,motherboard_failure,4,motherboard_failure,0.312,0
laptop,HP,Omen 16,20,0,20,0.0,none,2,speaker_failure,0.167,0
laptop,HP,Omen 16,51,3,8,4462.81,battery_degradation,3,data_recovery,0.726,1
tablet,Samsung,Galaxy Tab S8,43,0,43,0.0,none,1,touchscreen_failure,0.378,0
tablet,Lenovo,Tab M10,66,3,23,136.73,software_issue,2,battery_degradation,0.52,1
laptop,Dell,XPS 13,29,2,4,774.73,speaker_failure,1,data_recovery,0.471,1
tablet,Lenovo,Tab P11,44,1,8,1493.12,battery_degradation,2,touchscreen_failure,0.434,0
tablet,Lenovo,Tab P11,57,1,2,1027.15,touchscreen_failure,2,battery_degradation,0.654,1
laptop,ASUS,ROG Strix G15,58,2,14,2670.06,data_recovery,4,screen_damage,0.535,1
phone,Samsung,Galaxy A54,57,5,29,9617.98,battery_degradation,4,charging_port,0.691,1
phone,Apple,iPhone 15,18,0,18,0.0,none,1,screen_damage,0.215,0
tablet,Samsung,Galaxy Tab A8,71,4,6,7114.01,charging_port,1,camera_failure,0.753,1
laptop,Apple,MacBook Air M1,35,5,28,11316.33,screen_damage,4,overheating,0.404,0
phone,Apple,iPhone 14,45,2,1,2074.48,camera_failure,3,touchscreen_failure,0.546,1
phone,Samsung,Galaxy S21,48,3,14,211.41,water_damage,3,battery_degradation,0.659,1
phone,Apple,iPhone 11,37,6,30,10441.08,speaker_failure,4,screen_damage,0.413,0
laptop,ASUS,ZenBook 14,11,1,0,639.81,battery_degradation,4,battery_degradation,0.472,1
phone,Samsung,Galaxy S22,39,3,7,358.12,battery_degradation,4,charging_port,0.571,1
phone,Apple,iPhone 14,69,5,1,7899.44,screen_damage,2,software_issue,0.807,1
laptop,Dell,XPS 13,46,0,46,0.0,none,4,software_issue,0.278,0
phone,Xiaomi,Redmi Note 11,68,7,23,1184.39,water_damage,1,software_issue,0.714,1
laptop,Dell,XPS 13,50,5,23,3170.63,battery_degradation,1,keyboard_failure,0.512,1
laptop,Lenovo,Legion 5,14,0,14,0.0,none,3,overheating,0.224,0
phone,Apple,iPhone 13,70,1,21,2033.77,screen_damage,4,overheating,0.36,0
tablet,Samsung,Galaxy Tab S8,24,1,4,157.75,touchscreen_failure,4,screen_damage,0.492,1
phone,Samsung,Galaxy S22,6,2,6,997.35,battery_degradation,3,software_issue,0.288,0
tablet,Samsung,Galaxy Tab S8,61,5,16,457.76,water_damage,3,touchscreen_failure,0.746,1
laptop,Apple,MacBook Pro 14,43,2,17,622.38,battery_degradation,4,overheating,0.397,0
tablet,Samsung,Galaxy Tab A8,44,2,11,2481.02,screen_damage,3,water_damage,0.528,1
phone,Xiaomi,Poco F5,11,3,6,4518.4,battery_degradation,3,camera_failure,0.569,1
laptop,Apple,MacBook Air M1,42,2,18,1532.48,overheating,4,overheating,0.431,0
phone,Xiaomi,Poco F5,45,3,28,317.66,software_issue,3,battery_degradation,0.599,1
tablet,Samsung,Galaxy Tab A8,8,0,8,0.0,none,4,camera_failure,0.055,0
laptop,ASUS,VivoBook 15,21,4,0,1427.79,battery_degradation,4,keyboard_failure,0.627,1
phone,Apple,iPhone 11,31,1,23,905.38,camera_failure,1,charging_port,0.353,0
tablet,Apple,iPad 10,58,1,23,930.03,touchscreen_failure,2,screen_damage,0.451,1
tablet,Samsung,Galaxy Tab A8,41,4,17,2496.12,battery_degradation,2,touchscreen_failure,0.486,1
laptop,ASUS,ROG Strix G15,72,10,7,6544.42,motherboard_failure,4,data_recovery,0.744,1
phone,Xiaomi,Poco X5,63,3,12,919.78,speaker_failure,4,screen_damage,0.771,1
phone,Xiaomi,Poco F5,12,0,12,0.0,none,3,camera_failure,0.272,0
tablet,Samsung,Galaxy Tab S8,9,0,9,0.0,none,3,speaker_failure,0.155,0
laptop,Lenovo,Legion 5,23,2,11,2543.78,overheating,2,motherboard_failure,0.348,0
phone,Apple,iPhone 14,4,1,2,1385.05,battery_degradation,2,water_damage,0.277,0
tablet,Apple,iPad Air 5,40,2,25,4997.98,software_issue,4,charging_port,0.394,0
laptop,ASUS,ZenBook 14,17,1,10,1605.85,motherboard_failure,3,speaker_failure,0.342,0
phone,Xiaomi,Mi 13,24,0,24,0.0,none,2,touchscreen_failure,0.324,0
laptop,ASUS,ZenBook 14,16,1,16,382.54,overheating,3,data_recovery,0.23,0
tablet,Apple,iPad Pro 11,67,2,18,4229.67,touchscreen_failure,3,screen_damage,0.45,1
phone,Xiaomi,Poco X5,69,6,5,7538.6,screen_damage,2,battery_degradation,0.792,1
phone,Xiaomi,Mi 13,44,4,36,411.94,overheating,1,battery_degradation,0.643,1
phone,Xiaomi,Mi 13,34,1,13,1917.4,speaker_failure,1,water_damage,0.445,0
laptop,ASUS,ROG Strix G15,39,1,30,612.19,motherboard_failure,4,motherboard_failure,0.406,0
laptop,Dell,XPS 13,8,0,8,0.0,none,4,speaker_failure,0.072,0
laptop,Dell,XPS 13,44,1,9,781.46,speaker_failure,3,keyboard_failure,0.539,1
laptop,Lenovo,IdeaPad 5,66,5,35,1327.3,overheating,1,overheating,0.598,1
laptop,Dell,XPS 13,19,0,19,0.0,none,3,motherboard_failure,0.114,0
laptop,ASUS,ROG Strix G15,32,2,10,4067.39,water_damage,3,overheating,0.563,1
phone,Apple,iPhone 14,66,7,29,8728.29,touchscreen_failure,1,water_damage,0.562,1
phone,Samsung,Galaxy A54,59,3,15,1613.58,water_damage,1,battery_degradation,0.591,1
laptop,Dell,Latitude 5530,61,2,18,2683.45,screen_damage,4,overheating,0.619,1
phone,Samsung,Galaxy S23,52,3,23,339.32,screen_damage,2,battery_degradation,0.429,0
laptop,ASUS,ROG Strix G15,10,0,10,0.0,none,4,motherboard_failure,0.127,0
tablet,Samsung,Galaxy Tab S8,16,0,16,0.0,none,1,software_issue,0.106,0
laptop,HP,EliteBook 840,72,3,23,5662.24,battery_degradation,4,overheating,0.498,1
tablet,Apple,iPad Air 5,5,1,1,1783.98,charging_port,4,touchscreen_failure,0.377,0
phone,Xiaomi,Mi 13,18,2,10,4656.84,battery_degradation,4,charging_port,0.42,0
tablet,Lenovo,Tab M10,44,1,32,2070.72,screen_damage,3,screen_damage,0.376,0
laptop,Apple,MacBook Air M2,43,1,7,2449.75,screen_damage,1,motherboard_failure,0.473,1
tablet,Samsung,Galaxy Tab A8,30,1,23,128.39,screen_damage,4,screen_damage,0.304,0
phone,Xiaomi,Redmi Note 12,5,0,5,0.0,none,1,camera_failure,0.19,0
phone,Apple,iPhone 14,41,0,41,0.0,none,4,touchscreen_failure,0.239,0
tablet,Apple,iPad Pro 11,65,2,30,4364.09,camera_failure,1,software_issue,0.497,1
tablet,Apple,iPad 10,27,2,17,1625.25,screen_damage,4,camera_failure,0.376,0
laptop,Lenovo,IdeaPad 5,69,6,21,8194.1,battery_degradation,3,overheating,0.71,1
tablet,Samsung,Galaxy Tab S9,32,0,32,0.0,none,3,camera_failure,0.216,0
phone,Samsung,Galaxy S23,27,0,27,0.0,none,4,motherboard_failure,0.273,0
laptop,Dell,Inspiron 15,72,4,17,2877.89,screen_damage,4,data_recovery,0.673,1
laptop,HP,Pavilion 15,38,4,2,2876.3,motherboard_failure,3,battery_degradation,0.716,1
laptop,HP,Omen 16,62,0,62,0.0,none,3,overheating,0.343,0
tablet,Lenovo,Tab M10,18,2,3,3078.39,software_issue,2,charging_port,0.482,1
phone,Xiaomi,Mi 13,29,1,20,582.09,overheating,3,screen_damage,0.298,0
tablet,Samsung,Galaxy Tab S9,18,2,0,4822.59,software_issue,2,charging_port,0.586,1
laptop,Dell,Inspiron 15,26,3,24,7229.36,screen_damage,1,speaker_failure,0.344,0
phone,Xiaomi,Mi 13,30,1,17,1846.72,water_damage,1,camera_failure,0.478,1
phone,Samsung,Galaxy S22,5,0,5,0.0,none,4,camera_failure,0.224,0
laptop,Lenovo,Legion 5,38,2,2,46.34,water_damage,1,overheating,0.587,1
laptop,HP,EliteBook 840,70,6,33,7408.69,screen_damage,4,battery_degradation,0.738,1
laptop,Lenovo,ThinkPad X1 Carbon,43,3,10,5483.39,overheating,2,data_recovery,0.611,1
phone,Xiaomi,Poco X5,38,2,36,3372.01,screen_damage,4,screen_damage,0.379,0
laptop,ASUS,ROG Strix G15,12,0,12,0.0,none,1,screen_damage,0.14,0
phone,Apple,iPhone 14,42,3,15,51.23,water_damage,4,camera_failure,0.462,1
laptop,HP,EliteBook 840,2,0,2,0.0,none,3,battery_degradation,0.062,0
tablet,Apple,iPad Air 5,16,0,16,0.0,none,2,software_issue,0.123,0
laptop,ASUS,VivoBook 15,40,6,7,9580.67,battery_degradation,3,overheating,0.78,1
tablet,Apple,iPad Air 5,18,0,18,0.0,none,4,charging_port,0.136,0
tablet,Lenovo,Tab M10,54,1,35,2281.99,screen_damage,2,charging_port,0.471,1
phone,Xiaomi,Mi 13,11,1,8,1116.87,charging_port,1,screen_damage,0.429,0
tablet,Apple,iPad Air 5,71,3,32,1516.18,water_damage,2,touchscreen_failure,0.507,1
laptop,ASUS,ROG Strix G15,15,1,6,1792.29,screen_damage,4,screen_damage,0.373,0
phone,Samsung,Galaxy S22,66,2,26,2283.99,battery_degradation,4,camera_failure,0.412,0
